word,is_suffix,is_prefix,is_webscale,is_bigdata,is_language,is_tech,is_devops
Algorithm,,,,1,,,
Auth,,,1,,,,1
Base,0,,1,1,,,1
Bit,,,,1,,,
Blue,,,,,,,
Byte,,,,1,,,
Cask,,,,,,,
Cell,,,,1,,,
Cloud,,0,1,1,,,1
Coast,,,,,,,
Column,,,,1,,,
Connect,,,1,,,,1
DB,,,1,1,,,
Data,,,,1,,,1
Dev,,0,1,,,,1
Dist,,,,,,,1
Duty,,,,,,,1
Force,,,,,,,
Forge,,,,,,,
Foundation,,,,1,,,
Geek,,,1,,,,1
Grid,,,1,1,,,
Hub,,,1,1,,,1
JS,1,1,1,,1,,
Jedi,,,,,,,
Learning,,,,1,,,
Log,,,1,1,,,1
MQ,,,1,1,,,1
Machine,,,,1,,,
Mem,,,1,1,,,
Memory,,,1,1,,,
Mine,,,,,,,
Mod,,,,,,,
Nerd,,,1,,,,1
Ninja,,,1,,,,1
Ops,,,,,,,1
Parse,,,1,1,,,
Persist,,,,1,,,
Pirate,,,1,,,,1
Pub,,,1,1,,,
Rapid,,,1,1,,,1
Reactive,,,1,,,,
RockStar,,,1,,,,1
Row,,,,1,,,
Scale,,,1,1,,,
Science,,,,1,,,
Script,,,1,,,,1
Send,,,,,,,1
Slang,,,,,,,
Socket,,,1,,,,1
Space,,,,,,,
Speed,,,1,1,,,1
Star,,,,,,,
Stash,,,,,,,
Store,,,,1,,,
Sub,,,1,1,,,
Team,,,,,,,1
Tech,,,,,,,1
Web,,,1,,,,1
Word,,,,,,,
Work,,,,,,,1
Buster,1,,,,,,
Cast,1,,,,,,
Caster,1,,,,,,
FS,1,,,,,,
IO,1,,,,,,
Miner,1,,,1,,,
.Net,1,,,,,,
One,1,,,,,,
QL,1,,,,,,
R,1,,,1,,,
X,1,,1,1,,1,1
erator,1,,,,,,
ery,1,,,,,,
lang,1,,,,,,
ly,1,,,,,,
Ad,,1,,,,,
Big,,1,,1,,,
Broad,,1,,,,,
Elastic,,1,1,,,1,1
Fluid,,1,,,,,
i,,1,,,,,
Inno,,1,,,,,
J,,1,,,1,1,
ML,,1,,1,,0,
Navi,,1,,,,,
Open,,1,1,,,,1
Py,,1,1,1,,0,1
Wi,,1,,,,,1
Akka,,,1,,,1,
Cassandra,,,1,1,,1,
Chef,,,,,,1,1
Docker,,,,,,1,1
Drill,,,,1,,1,
Elixir,,,1,,1,1,
Erlang,,,1,,1,1,
Foundation,,,,1,,1,
Giraph,,,,1,,1,
Go,,,,,1,1,
HBase,,,,1,,1,
Hadoop,,,,1,,1,
Haskell,,,1,1,1,1,
Hive,,,,1,,1,
Java,,,,1,1,1,
Mongo,,,1,1,,1,
Node,,,1,,1,1,
Perl,,,1,,1,1,1
PHP,,,1,,1,1,
Puppet,,,,,1,1,1
Python,,,1,1,1,1,1
Rabbit,,,1,,,1,
Riak,,,1,1,,1,
Ruby,,,1,,1,1,
Scala,,,1,1,1,1,
Spark,,,,1,,1,
Titan,,,,1,,1,
Vagrant,,,,,,1,1